License Year, Hunting District,Deer Species,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bucks,Does,Fawns,Bow,Rifle,Less than 4 Points, 4 or More Points
2020,100,all_deer,N,0,0,0,140,101,33,6,6,135,32,70
2020,100,all_deer,R,0,0,0,1073,742,331,0,42,1031,312,430
2020,100,all_deer,SUM,0,0,0,1214,843,365,6,48,1166,343,500
2020,100,md,N,0,0,0,15,15,0,0,0,15,6,9
2020,100,md,R,0,0,0,123,112,11,0,0,123,64,48
2020,100,md,SUM,0,0,0,137,127,11,0,0,137,70,56
2020,100,wt,N,0,0,0,126,87,33,6,6,120,26,61
2020,100,wt,R,0,0,0,950,630,320,0,42,908,247,383
2020,100,wt,SUM,0,0,0,1076,717,354,6,48,1029,273,444
2020,101,all_deer,N,0,0,0,46,41,5,0,3,43,15,26
2020,101,all_deer,R,0,0,0,997,758,239,0,33,964,346,412
2020,101,all_deer,SUM,0,0,0,1042,798,244,0,36,1007,360,438
2020,101,md,N,0,0,0,9,9,0,0,0,9,6,3
2020,101,md,R,0,0,0,58,54,3,0,3,54,34,20
2020,101,md,SUM,0,0,0,66,63,3,0,3,63,40,23
2020,101,wt,N,0,0,0,37,32,5,0,3,34,9,23
2020,101,wt,R,0,0,0,939,703,236,0,29,910,312,391
2020,101,wt,SUM,0,0,0,976,735,241,0,32,944,321,415
2020,102,all_deer,N,0,0,0,20,20,0,0,0,20,9,12
2020,102,all_deer,R,0,0,0,809,658,144,7,32,777,254,397
2020,102,all_deer,SUM,0,0,0,829,678,144,7,32,797,263,408
2020,102,md,N,0,0,0,0,0,0,0,0,0,0,0
2020,102,md,R,0,0,0,27,20,7,0,0,27,14,7
2020,102,md,SUM,0,0,0,27,20,7,0,0,27,14,7
2020,102,wt,N,0,0,0,20,20,0,0,0,20,9,12
2020,102,wt,R,0,0,0,782,637,137,7,32,750,241,390
2020,102,wt,SUM,0,0,0,802,658,137,7,32,770,250,402
2020,103,all_deer,N,0,0,0,56,34,22,0,3,53,12,23
2020,103,all_deer,R,0,0,0,982,725,258,0,20,963,284,441
2020,103,all_deer,SUM,0,0,0,1038,759,279,0,23,1015,296,463
2020,103,md,N,0,0,0,16,6,10,0,0,16,3,3
2020,103,md,R,0,0,0,143,137,6,0,3,140,58,80
2020,103,md,SUM,0,0,0,159,143,16,0,3,156,61,83
2020,103,wt,N,0,0,0,40,28,11,0,3,37,9,20
2020,103,wt,R,0,0,0,839,587,252,0,16,823,227,361
2020,103,wt,SUM,0,0,0,879,616,263,0,19,859,235,381
2020,104,all_deer,N,0,0,0,66,49,17,0,6,61,9,40
2020,104,all_deer,R,0,0,0,692,491,197,4,22,671,209,283
2020,104,all_deer,SUM,0,0,0,759,541,214,4,27,731,217,323
2020,104,md,N,0,0,0,6,6,0,0,0,6,0,6
2020,104,md,R,0,0,0,75,71,4,0,0,75,24,48
2020,104,md,SUM,0,0,0,81,77,4,0,0,81,24,53
2020,104,wt,N,0,0,0,60,43,17,0,6,55,9,35
2020,104,wt,R,0,0,0,617,420,194,4,22,596,185,235
2020,104,wt,SUM,0,0,0,678,464,211,4,27,650,194,270
2020,109,all_deer,N,0,0,0,0,0,0,0,0,0,0,0
2020,109,all_deer,R,0,0,0,231,187,44,0,3,228,64,123
2020,109,all_deer,SUM,0,0,0,231,187,44,0,3,228,64,123
2020,109,md,N,0,0,0,0,0,0,0,0,0,0,0
2020,109,md,R,0,0,0,55,55,0,0,0,55,20,35
2020,109,md,SUM,0,0,0,55,55,0,0,0,55,20,35
2020,109,wt,N,0,0,0,0,0,0,0,0,0,0,0
2020,109,wt,R,0,0,0,177,132,44,0,3,173,44,88
