"district","species","harvest","bucks","does","fawns","smallBucks","bigBucks"
"100","md",137,127,11,0,70,56
"100","wt",1076,717,354,6,273,444
"101","md",66,63,3,0,40,23
"101","wt",976,735,241,0,321,415
"102","md",27,20,7,0,14,7
"102","wt",802,658,137,7,250,402
"103","md",159,143,16,0,61,83
"103","wt",879,616,263,0,235,381
"104","md",81,77,4,0,24,53
"104","wt",678,464,211,4,194,270
"109","md",55,55,0,0,20,35
"109","wt",177,132,44,0,44,88
"110","md",30,26,3,0,7,19
"110","wt",317,296,21,0,98,198
"120","md",37,37,0,0,20,17
"120","wt",740,554,186,0,192,362
"121","md",72,72,0,0,27,45
"121","wt",771,657,115,0,214,443
"122","md",117,114,2,0,71,43
"122","wt",500,413,87,0,164,248
"123","md",13,13,0,0,7,6
"123","wt",161,133,28,0,53,80
"124","md",44,44,0,0,27,17
"124","wt",119,97,19,3,34,64
"130","md",33,30,3,0,7,23
"130","wt",557,496,62,0,173,323
"140","md",10,10,0,0,3,7
"140","wt",158,152,7,0,48,104
"141","wt",7,7,0,0,3,3
"150","md",7,7,0,0,0,7
"150","wt",10,10,0,0,0,10
"170","md",14,14,0,0,10,3
"170","wt",1471,789,668,14,320,469
"200","md",39,39,0,0,23,16
"200","wt",190,139,51,0,30,109
"201","md",60,60,0,0,37,23
"201","wt",561,462,99,0,184,278
"202","md",104,104,0,0,38,66
"202","wt",412,367,39,5,114,253
"203","md",134,126,9,0,68,58
"203","wt",391,349,42,0,145,205
"204","md",70,57,14,0,39,18
"204","wt",388,224,165,0,80,144
"210","md",70,38,32,0,7,30
"210","wt",377,171,203,3,70,101
"211","md",24,24,0,0,10,14
"211","wt",33,30,3,0,7,23
"212","md",55,36,18,0,23,13
"212","wt",81,52,29,0,7,42
"213","md",141,91,50,0,39,52
"213","wt",326,101,226,0,19,82
"214","md",23,23,0,0,9,14
"214","wt",35,29,6,0,9,20
"215","md",100,59,41,0,32,27
"215","wt",200,109,84,6,46,63
"216","md",73,73,0,0,43,30
"216","wt",94,52,41,0,14,35
"217","md",13,4,8,0,0,4
"217","wt",122,50,72,0,8,42
"240","md",120,113,7,0,70,43
"240","wt",798,570,218,10,203,367
"250","md",14,14,0,0,2,12
"250","wt",86,82,3,0,37,45
"260","md",16,7,9,0,3,3
"260","wt",730,224,502,3,49,176
"261","md",18,16,2,0,3,12
"261","wt",169,116,53,0,33,83
"262","md",78,23,56,0,3,20
"262","wt",388,221,168,0,66,155
"270","md",86,60,27,0,12,48
"270","wt",205,129,77,0,69,59
"280","md",5,5,0,0,2,3
"280","wt",7,0,7,0,0,0
"281","md",28,28,0,0,4,24
"281","wt",236,215,21,0,89,126
"282","md",7,7,0,0,3,3
"282","wt",50,37,13,0,20,13
"283","md",31,31,0,0,3,27
"283","wt",276,201,71,3,68,133
"284","md",5,5,0,0,3,3
"284","wt",17,17,0,0,10,7
"285","md",40,40,0,0,13,27
"285","wt",528,452,76,0,223,229
"290","md",17,17,0,0,8,8
"290","wt",100,66,34,0,9,57
"291","md",50,34,17,0,2,32
"291","wt",53,39,14,0,17,22
"292","md",123,123,0,0,65,58
"292","wt",342,278,61,3,143,135
"293","md",54,54,0,0,20,33
"293","wt",78,61,17,0,17,44
"298","md",4,4,0,0,0,4
"298","wt",71,57,14,0,16,41
"300","md",122,78,44,0,29,50
"300","wt",155,63,92,0,17,46
"301","md",74,67,7,0,44,23
"301","wt",170,97,72,0,20,77
"302","md",167,126,38,3,66,60
"302","wt",61,26,36,0,7,19
"309","md",48,37,11,0,10,27
"309","wt",476,234,242,0,37,197
"310","md",17,17,0,0,10,7
"310","wt",13,10,3,0,0,10
"311","md",336,254,82,0,122,132
"311","wt",850,437,410,3,65,369
"312","md",216,190,26,0,83,107
"312","wt",680,331,349,0,61,270
"313","md",174,135,38,0,57,79
"313","wt",40,17,23,0,3,14
"314","md",192,165,26,0,49,116
"314","wt",213,120,90,2,37,83
"315","md",247,221,26,0,133,88
"315","wt",457,212,241,3,67,138
"317","md",195,163,32,0,69,94
"317","wt",462,223,235,3,53,167
"318","md",90,67,23,0,64,3
"318","wt",10,7,3,0,0,7
"319","md",66,51,15,0,33,18
"319","wt",31,21,10,0,5,16
"320","md",208,179,30,0,99,80
"320","wt",623,268,351,4,59,202
"321","md",29,22,7,0,13,10
"321","wt",22,19,3,0,0,19
"322","md",220,151,69,0,73,77
"322","wt",925,319,598,8,64,248
"323","md",55,45,10,0,32,13
"323","wt",16,13,3,0,3,10
"324","md",43,23,20,0,3,20
"324","wt",58,23,28,7,0,23
"325","md",371,286,84,0,153,134
"325","wt",386,177,208,0,36,138
"326","md",147,112,36,0,75,36
"326","wt",141,55,82,3,6,49
"327","md",60,50,10,0,26,24
"327","wt",23,17,7,0,7,10
"328","md",37,35,3,0,16,19
"328","wt",13,7,7,0,0,7
"329","md",156,101,52,3,63,38
"329","wt",61,20,41,0,7,14
"330","md",189,174,16,0,90,84
"330","wt",203,86,110,7,26,60
"331","md",380,286,94,0,209,77
"331","wt",209,112,98,0,17,95
"332","md",53,43,10,0,27,17
"332","wt",7,0,7,0,0,0
"333","md",236,168,68,0,91,77
"333","wt",703,301,401,0,68,234
"334","md",33,23,10,0,10,13
"334","wt",17,14,3,0,7,7
"335","md",162,143,19,0,102,41
"335","wt",37,10,26,0,3,7
"339","md",118,105,13,0,64,41
"339","wt",33,13,20,0,3,10
"340","md",403,245,155,3,151,94
"340","wt",636,264,372,0,43,221
"341","md",114,83,31,0,50,33
"341","wt",36,10,26,0,7,3
"343","md",128,125,0,3,88,37
"343","wt",67,30,37,0,20,10
"350","md",75,66,9,0,46,20
"350","wt",10,0,10,0,0,0
"360","md",146,139,7,0,68,72
"360","wt",220,107,110,3,35,72
"361","md",15,9,6,0,3,6
"361","wt",10,7,3,0,3,3
"362","md",29,25,3,0,19,7
"362","wt",6,3,3,0,0,3
"370","md",27,20,7,0,7,13
"370","wt",25,19,6,0,7,12
"380","md",402,301,96,5,165,136
"380","wt",510,223,281,6,65,152
"388","md",113,78,35,0,34,44
"388","wt",215,115,100,0,41,74
"390","md",160,135,25,0,76,60
"390","wt",51,13,38,0,7,6
"391","md",515,420,92,3,243,178
"391","wt",208,116,92,0,43,73
"392","md",196,155,41,0,80,75
"392","wt",43,26,16,0,13,13
"393","md",354,290,63,0,125,166
"393","wt",246,134,112,0,25,102
"400","md",742,580,153,9,177,403
"400","wt",438,242,192,3,37,205
"401","md",432,329,103,0,96,233
"401","wt",336,209,126,0,20,189
"403","md",172,127,45,0,52,74
"403","wt",108,76,32,0,12,64
"404","md",625,532,92,0,189,340
"404","wt",793,420,363,10,78,342
"405","md",660,420,237,3,197,223
"405","wt",196,124,71,0,27,97
"406","md",258,165,86,7,64,101
"406","wt",324,156,168,0,44,112
"410","md",795,714,82,0,268,445
"410","wt",176,109,63,3,26,83
"411","md",707,616,89,2,157,459
