"species","length","weight"
"LT",299,259
"L WF",484,1092
"L WF",480,947
"N PMN",242,109
"L WF",439,624
"N PMN",255,145
"RBXCT",342,364
"L WF",438,718
"RS SH",160,34
"L WF",481,1036
"N PMN",204,145
"L WF",440,744
"L WF",421,586
"N PMN",250,127
"L WF",269,148
"N PMN",270,150
"L WF",460,891
"L WF",495,955
"N PMN",250,121
"LT",591,1620
"LT",7232,2874
"N PMN",170,42
"LS SU",480,947
"WCT",327,288
"N PMN",245,117
"N PMN",261,139
"N PMN",238,101
"RBXCT",300,235
"N PMN",203,62
"N PMN",272,165
"N PMN",252,132
"L WF",322,258
"RBXCT",278,180
"WCT",351,378
"RBXCT",380,533
"N PMN",183,45
"RBXCT",358,409
"L WF",406,589
"WCT",385,461
"N PMN",292,142
"RBXCT",421,326
"L WF",442,722
"L WF",335,321
"N PMN",291,181
"WCT",308,244
"L WF",415,672
"N PMN",312,263
"L WF",445,828
"N PMN",390,575
"PEA",291,221
"PEA",262,146
"L WF",239,99
"LT",547,1233
"L WF",292,175
"N PMN",440,702
"LT",569,1325
"L WF",208,63
"PEA",256,148
"N PMN",486,1094
"L WF",314,227
"N PMN",317,234
"L WF",426,603
"L WF",235,93
"LN SU",361,488
"N PMN",293,196
"L WF",283,177
"PEA",264,149
"L WF",455,779
"PEA",271,163
"L WF",2833,170
"L WF",278,156
"L WF",436,649
"N PMN",378,469
"L WF",429,679
"L WF",473,965
"N PMN",350,408
"N PMN",383,520
"N PMN",497,1402
"N PMN",287,181
"L WF",295,201
"PEA",257,139
"LS SU",470,876
"RBXCT",318,286
"L WF",453,772
"L WF",425,623
"L WF",285,177
"PEA",247,126
"N PMN",538,1561
"N PMN",258,138
"L WF",460,780
"L WF",265,133
"RBXCT",246,142
"N PMN",335,312
"N PMN",453,818
"N PMN",335,371
"N PMN",411,632
"N PMN",297,225
"PEA",304,265
"L WF",245,110
"L WF",303,222
"L WF",370,371
"L WF",245,98
"LS SU",415,757
"L WF",330,265
"L WF",266,137
"N PMN",312,255
"L WF",243,101
"L WF",445,835
"L WF",460,797
"L WF",469,858
"L WF",443,746
"L WF",478,885
"PEA",300,268
"L WF",262,143
"PEA",267,159
"L WF",362,379
"L WF",412,578
"L WF",325,265
"N PMN",505,1490
"PEA",254,137
"RBXCT",319,294
"L WF",466,780
"L WF",316,234
"PEA",287,209
"L WF",419,643
"N PMN",288,175
"N PMN",412,666
"N PMN",368,424
"L WF",191,52
"PEA",281,180
"L WF",461,821
"RBXCT",294,249
"L WF",267,163
"N PMN",334,356
"L WF",375,423
"L WF",392,496
"L WF",471,995
"PEA",307,246
"LT",792,4464
"L WF",341,305
"LT",542,1245
"L WF",437,718
"L WF",440,700
"L WF",283,156
"L WF",297,207
"L WF",270,153
"N PMN",376,480
"L WF",358,361
"L WF",331,292
"N PMN",271,142
"L WF",475,881
"LT",548,1331
"L WF",182,39
"PEA",312,264
"LT",476,782
"L WF",376,412
"L WF",445,730
"PEA",261,152
"L WF",265,134
"N PMN",508,1409
"L WF",281,168
"LN SU",337,340
"N PMN",310,232
"N PMN",506,1330
"N PMN",306,259
"N PMN",263,150
"LS SU",456,1086
"L WF",243,106
"L WF",314,231
"L WF",435,746
"L WF",445,864
"LT",578,1578
"PEA",260,150
"N PMN",333,331
"PEA",292,215
"N PMN",412,670
"N PMN",415,640
"LN SU",406,632
"L WF",205,60
"L WF",252,113
"LN SU",390,657
"N PMN",312,268
"L WF",320,261
"L WF",282,172
"L WF",480,970
"L WF",295,178
"N PMN",320,305
"PEA",278,171
"N PMN",566,1599
"L WF",232,91
"L WF",268,143
"PEA",264,153
"L WF",462,877
"L WF",307,200
"N PMN",452,922
"L WF",370,418
"L WF",378,448
"L WF",359,360
"PEA",254,123
"PEA",310,261
"L WF",290,187
"L WF",335,295
"L WF",231,91
"L WF",259,120
"N PMN",367,428
"N PMN",264,129
"N PMN",386,516
"LT",495,1042
"LN SU",368,477
"L WF",430,703
"L WF",472,904
"N PMN",430,673
"L WF",304,217
"L WF",480,945
"PEA",307,260
"L WF",299,194
"L WF",225,83
"N PMN",345,348
"L WF",264,145
"L WF",205,65
"LS SU",459,1030
"L WF",280,156
"YP",249,214
"L WF",296,263
"LT",428,543
"LT",575,1418
"PEA",285,174
"L WF",338,285
"PEA",286,209
"L WF",289,193
"L WF",365,372
"YP",155,42
"PEA",272,200
"L WF",292,182
"RBXCT",253,150
"L WF",516,1290
"N PMN",294,190
"LT",725,2882
"L WF",278,163
"RBXCT",343,388
"N PMN",338,341
"NP",366,366
"L WF",293,198
"LS SU",456,1045
"L WF",270,141
"PEA",271,167
"N PMN",271,144
"L WF",278,155
"L WF",425,668
"N PMN",335,376
"N PMN",315,261
"L WF",360,355
